ts_event,close_AAPL,close_AMZN,close_MSFT,close_META,close_GOOGL,close_NVDA,close_SPY,close_GM
2021-07-19 08:00:00,145120000000,3553400000000,280230000000,14340000000,2521500000000,720550000000,428120000000,54690000000
2021-07-19 09:00:00,145250000000,3560950000000,280500000000,14170000000,2532000000000,724000000000,428530000000,54270000000
2021-07-19 10:00:00,145220000000,3565000000000,280400000000,14170000000,2530000000000,723900000000,428130000000,54350000000
2021-07-19 11:00:00,143700000000,3544640000000,279430000000,14060000000,2523710000000,716010000000,426990000000,54110000000
2021-07-19 12:00:00,144010000000,3537500000000,279480000000,14090000000,2522500000000,714910000000,426520000000,54070000000
2021-07-19 13:00:00,142040000000,3522850000000,278600000000,14130000000,2486480000000,736540000000,424240000000,52890000000
2021-07-19 14:00:00,143020000000,3536900000000,276190000000,14230000000,2486530000000,759480000000,424120000000,53570000000
2021-07-19 15:00:00,143345000000,3523950000000,276570000000,14300000000,2492000000000,752390000000,424920000000,54340000000
2021-07-19 16:00:00,142090000000,3513380000000,276420000000,14220000000,2484875000000,748100000000,422860000000,54090000000
2021-07-19 17:00:00,141910000000,3510720000000,275900000000,14230000000,2479180000000,748465000000,422150000000,53880000000
2021-07-19 18:00:00,142140000000,3521440000000,276190000000,14260000000,2484840000000,747020000000,422420000000,54055000000
2021-07-19 19:00:00,142520000000,3550210000000,277090000000,14330000000,2493430000000,751250000000,424960000000,54180000000
2021-07-19 20:00:00,143120000000,3557900000000,277800000000,14350000000,2497440000000,758730000000,425580000000,54410000000
2021-07-19 21:00:00,143170000000,3558000000000,277890000000,14350000000,2496100000000,759490000000,425700000000,54530000000
2021-07-20 08:00:00,143100000000,3569000000000,278650000000,14410000000,2502990000000,189490000000,426880000000,55100000000
2021-07-20 09:00:00,142920000000,3568000000000,278220000000,14420000000,2499000000000,189330000000,426140000000,54990000000
2021-07-20 10:00:00,143610000000,3566000000000,278550000000,14670000000,2502550000000,188680000000,426720000000,54870000000
2021-07-20 11:00:00,143530000000,3565500000000,278390000000,14500000000,2502150000000,189500000000,426950000000,54950000000
2021-07-20 12:00:00,143490000000,3560000000000,278250000000,14440000000,2504420000000,186500000000,426150000000,54590000000
2021-07-20 13:00:00,144220000000,3538830000000,277750000000,14280000000,2500810000000,184600000000,428240000000,55180000000
2021-07-20 14:00:00,145160000000,3557680000000,278360000000,14330000000,2514730000000,183120000000,430230000000,55510000000
2021-07-20 15:00:00,145630000000,3576600000000,278760000000,14410000000,2525010000000,184180000000,431110000000,55600000000
2021-07-20 16:00:00,146690000000,3574360000000,280170000000,14450000000,2535440000000,185620000000,431990000000,55820000000
2021-07-20 17:00:00,146750000000,3570350000000,279360000000,14420000000,2531700000000,183670000000,431080000000,55730000000
2021-07-20 18:00:00,146415000000,3587780000000,280300000000,14500000000,2534420000000,186100000000,431530000000,56100000000
2021-07-20 19:00:00,146140000000,3572830000000,279320000000,14470000000,2523690000000,186060000000,431040000000,56150000000
