Window,layers,hidden,dropout,lr,mse,batch_size
15.0,1.0,16.0,0.1,0.05,5.642213273360125e+18,16.0
15.0,1.0,32.0,0.0,0.05,5.760551512204772e+18,16.0
15.0,1.0,32.0,0.1,0.05,5.519739176678662e+18,16.0
15.0,1.0,64.0,0.0,0.05,5.629813459694548e+18,16.0
15.0,1.0,64.0,0.1,0.05,6.288017117457141e+18,16.0
15.0,1.0,128.0,0.0,0.05,5.423383282892626e+18,16.0
15.0,1.0,128.0,0.1,0.05,1.3652396829506023e+19,16.0
15.0,1.0,8.0,0.0,0.05,5.516579727029e+18,64.0
15.0,1.0,8.0,0.1,0.05,5.344117014941795e+18,64.0
15.0,1.0,16.0,0.0,0.05,5.264546239584594e+18,64.0
15.0,1.0,16.0,0.1,0.05,5.513264376352037e+18,64.0
15.0,1.0,32.0,0.0,0.05,5.817081916981817e+18,64.0
15.0,1.0,32.0,0.1,0.05,6.065493270469965e+18,64.0
15.0,1.0,64.0,0.0,0.05,6.201707702018187e+18,64.0
15.0,1.0,64.0,0.1,0.05,5.544374344090431e+18,64.0
15.0,1.0,128.0,0.0,0.05,5.424312839328921e+18,64.0
15.0,1.0,128.0,0.1,0.05,6.521667190995507e+18,64.0
10.0,1.0,8.0,0.0,0.05,5.732980729902371e+18,16.0
10.0,1.0,8.0,0.0,0.01,5.280914845591916e+18,16.0
10.0,1.0,8.0,0.1,0.05,6.321285940753364e+18,16.0
10.0,1.0,8.0,0.1,0.01,5.254578219293359e+18,16.0
10.0,1.0,16.0,0.0,0.05,5.338660951067562e+18,16.0
10.0,1.0,16.0,0.0,0.01,5.40042996497682e+18,16.0
10.0,1.0,16.0,0.1,0.05,8.117573903744923e+18,16.0
10.0,1.0,16.0,0.1,0.01,5.831378624402847e+18,16.0
10.0,1.0,32.0,0.0,0.05,6.957432583424443e+18,16.0
10.0,1.0,32.0,0.0,0.01,5.153884616696574e+18,16.0
10.0,1.0,32.0,0.1,0.05,7.512589905122486e+18,16.0
10.0,1.0,32.0,0.1,0.01,5.550163513523235e+18,16.0
10.0,1.0,64.0,0.0,0.05,5.806142669069616e+18,16.0
10.0,1.0,64.0,0.0,0.01,5.410011330786552e+18,16.0
10.0,1.0,64.0,0.1,0.05,7.191940804320647e+18,16.0
10.0,1.0,64.0,0.1,0.01,6.001553960146524e+18,16.0
10.0,1.0,128.0,0.0,0.05,1.2608894926799634e+19,16.0
10.0,1.0,128.0,0.0,0.01,5.166447356072064e+18,16.0
10.0,1.0,128.0,0.1,0.05,9.830877869696483e+18,16.0
10.0,1.0,128.0,0.1,0.01,6.293696795167819e+18,16.0
10.0,2.0,8.0,0.0,0.05,5.373725254993184e+18,16.0
10.0,2.0,8.0,0.0,0.01,5.578658951174599e+18,16.0
10.0,2.0,8.0,0.1,0.05,1.0221226011912554e+19,16.0
10.0,2.0,8.0,0.1,0.01,1.3546174209256776e+19,16.0
10.0,2.0,16.0,0.0,0.05,6.678214545819465e+18,16.0
10.0,2.0,16.0,0.0,0.01,5.892615474558898e+18,16.0
10.0,2.0,16.0,0.1,0.05,7.866493061396563e+18,16.0
10.0,2.0,16.0,0.1,0.01,8.080828595578122e+18,16.0
10.0,2.0,32.0,0.0,0.05,6.792774217807737e+18,16.0
10.0,2.0,32.0,0.0,0.01,5.330902041427489e+18,16.0
10.0,2.0,32.0,0.1,0.05,7.487972072297144e+18,16.0
10.0,2.0,32.0,0.1,0.01,8.192916760790698e+18,16.0
10.0,2.0,64.0,0.0,0.05,5.717205756957645e+18,16.0
10.0,2.0,64.0,0.0,0.01,7.39741020381991e+18,16.0
10.0,2.0,64.0,0.1,0.05,6.661544924829582e+18,16.0
10.0,2.0,64.0,0.1,0.01,9.66059450375493e+18,16.0
10.0,2.0,128.0,0.0,0.05,7.566214103814907e+19,16.0
10.0,2.0,128.0,0.0,0.01,7.503816735636748e+18,16.0
10.0,2.0,128.0,0.1,0.05,4.53699261707322e+20,16.0
10.0,2.0,128.0,0.1,0.01,7.72773169809383e+18,16.0
10.0,3.0,8.0,0.0,0.05,7.197011344261456e+18,16.0
10.0,3.0,8.0,0.0,0.01,5.516697986176779e+18,16.0
10.0,3.0,8.0,0.1,0.05,8.306631382728225e+18,16.0
10.0,3.0,8.0,0.1,0.01,1.2537887151693978e+19,16.0
10.0,3.0,16.0,0.0,0.05,1.1543125390481089e+19,16.0
10.0,3.0,16.0,0.0,0.01,5.919072441358572e+18,16.0
10.0,3.0,16.0,0.1,0.05,1.6659806988744946e+19,16.0
10.0,3.0,16.0,0.1,0.01,1.2286218533254535e+19,16.0
10.0,3.0,32.0,0.0,0.05,6.915381805253148e+18,16.0
10.0,3.0,32.0,0.0,0.01,9.223579620939151e+18,16.0
10.0,3.0,32.0,0.1,0.05,9.686855723169626e+18,16.0
10.0,3.0,32.0,0.1,0.01,8.686057796758099e+18,16.0
10.0,3.0,64.0,0.0,0.05,2.0048250048946065e+19,16.0
